Symbol,     Date,            Expiry,        Open,         High,          Low,         Close,           LTP,             Settle Price,       No. of contracts ,    Turnover Lakhs,             Open Int,               Change in OI,         Underlying Value  
TCS,     10-Oct-2023,     26-Oct-2023,      3633.45,      3637.95,      3603.10,      3622.85,      3622.55            ,3622.85             ,14711.00            ,93205.76                 ,9593325.00              ,205275.00               ,3628.90
TCS,     10-Oct-2023,     30-Nov-2023,      3654.55,      3657.80,      3625.55,      3643.80,      3644.75            ,3643.80             ,828.00              ,5276.06                  ,1415050.00              ,35350.00                ,3628.90
TCS,     10-Oct-2023,     28-Dec-2023,      3671.00,      3676.40,      3647.20,      3665.30,      3664.00            ,3665.30             ,76.00               ,487.26                   ,22050.00                ,4025.00                 ,3628.90
TCS,     11-Oct-2023,     26-Oct-2023,      3630.00,      3647.00,      3602.00,      3615.35,      3618.40            ,3615.35             ,23311.00            ,147928.77                ,9318925.00              ,-274400.00              ,3609.90
TCS,     11-Oct-2023,     30-Nov-2023,      3658.00,      3666.15,      3624.85,      3634.65,      3636.85            ,3634.65             ,2192.00             ,13985.71                 ,1631175.00              ,216125.00               ,3609.90
TCS,     11-Oct-2023,     28-Dec-2023,      3671.50,      3685.15,      3650.00,      3656.65,      3656.60            ,3656.65             ,88.00               ,564.90                   ,26950.00                ,4900.00                 ,3609.90
TCS,     12-Oct-2023,     26-Oct-2023,      3570.00,      3589.00,      3533.80,      3540.25,      3538.00            ,3540.25             ,39731.00            ,247312.89                ,10768100.00             ,1449175.00              ,3542.55
TCS,     12-Oct-2023,     30-Nov-2023,      3605.00,      3610.60,      3557.95,      3563.30,      3561.00            ,3563.30             ,3393.00             ,21253.62                 ,1846950.00              ,215775.00               ,3542.55
TCS,     12-Oct-2023,     28-Dec-2023,      3644.00,      3644.00,      3581.00,      3585.75,      3586.00            ,3585.75             ,250.00              ,1575.61                  ,49350.00                ,22400.00                ,3542.55
TCS,     13-Oct-2023,     26-Oct-2023,      3524.00,      3571.35,      3520.55,      3563.65,      3563.10            ,3563.65             ,19076.00            ,118718.57                ,9966250.00              ,-801850.00              ,3570.85
TCS,     13-Oct-2023,     30-Nov-2023,      3552.90,      3595.00,      3546.25,      3587.05,      3588.00            ,3587.05             ,1366.00             ,8560.83                  ,1819475.00              ,-27475.00               ,3570.85
TCS,     13-Oct-2023,     28-Dec-2023,      3575.00,      3615.60,      3575.00,      3609.45,      3608.45            ,3609.45             ,107.00              ,674.42                   ,52325.00                ,2975.00                 ,3570.85
TCS,     16-Oct-2023,     26-Oct-2023,      3559.95,      3570.95,      3520.10,      3524.95,      3521.00            ,3524.95             ,10011.00            ,62017.89                 ,10190075.00             ,223825.00               ,3524.05
TCS,     16-Oct-2023,     30-Nov-2023,      3588.00,      3593.60,      3543.50,      3548.95,      3545.05            ,3548.95             ,2027.00             ,12633.18                 ,1988350.00              ,168875.00               ,3524.05
TCS,     16-Oct-2023,     28-Dec-2023,      3610.00,      3615.00,      3568.00,      3571.85,      3569.40            ,3571.85             ,116.00              ,727.41                   ,62125.00                ,9800.00                 ,3524.05
TCS,     17-Oct-2023,     26-Oct-2023,      3525.00,      3532.90,      3506.05,      3509.40,      3510.85            ,3509.40             ,9892.00             ,60926.30                 ,10198825.00             ,8750.00                 ,3507.05
TCS,     17-Oct-2023,     30-Nov-2023,      3549.75,      3555.15,      3528.15,      3531.50,      3532.50            ,3531.50             ,3386.00             ,20985.85                 ,2318225.00              ,329875.00               ,3507.05
TCS,     17-Oct-2023,     28-Dec-2023,      3568.00,      3576.95,      3551.75,      3555.50,      3555.25            ,3555.50             ,120.00              ,748.55                   ,69125.00                ,7000.00                 ,3507.05
TCS,     18-Oct-2023,     26-Oct-2023,      3510.00,      3523.45,      3484.50,      3488.55,      3489.75            ,3488.55             ,10241.00            ,62783.70                 ,9824325.00              ,-374500.00              ,3487.25
TCS,     18-Oct-2023,     30-Nov-2023,      3538.00,      3546.00,      3508.25,      3511.35,      3513.80            ,3511.35             ,2782.00             ,17151.22                 ,2525950.00              ,207725.00               ,3487.25
TCS,     18-Oct-2023,     28-Dec-2023,      3555.55,      3565.00,      3532.00,      3536.45,      3535.05            ,3536.45             ,91.00               ,564.27                   ,76825.00                ,7700.00                 ,3487.25
TCS,     19-Oct-2023,     26-Oct-2023,      3475.20,      3479.95,      3456.70,      3461.50,      3460.55            ,3461.50             ,10656.00            ,64659.92                 ,9337650.00              ,-486675.00              ,3455.65
TCS,     19-Oct-2023,     30-Nov-2023,      3502.55,      3502.90,      3481.35,      3485.80,      3484.65            ,3485.80             ,3840.00             ,23463.42                 ,2858450.00              ,332500.00               ,3455.65
TCS,     19-Oct-2023,     28-Dec-2023,      3528.00,      3528.00,      3506.00,      3509.15,      3508.00            ,3509.15             ,128.00              ,787.27                   ,85575.00                ,8750.00                 ,3455.65
TCS,     20-Oct-2023,     26-Oct-2023,      3452.25,      3499.00,      3447.15,      3490.20,      3489.90            ,3490.20             ,19038.00            ,116030.45                ,7693700.00              ,-1643950.00             ,3494.55
TCS,     20-Oct-2023,     30-Nov-2023,      3464.65,      3521.50,      3464.65,      3512.45,      3511.10            ,3512.45             ,11529.00            ,70735.32                 ,3993500.00              ,1135050.00              ,3494.55
TCS,     20-Oct-2023,     28-Dec-2023,      3498.50,      3543.10,      3498.50,      3536.80,      3535.75            ,3536.80             ,162.00              ,1000.34                  ,89600.00                ,4025.00                 ,3494.55
TCS,     23-Oct-2023,     26-Oct-2023,      3484.75,      3484.75,      3406.25,      3413.90,      3411.00            ,3413.90             ,26052.00            ,157200.63                ,5297075.00              ,-2396625.00             ,3410.15
TCS,     23-Oct-2023,     30-Nov-2023,      3519.55,      3519.55,      3427.95,      3433.70,      3432.00            ,3433.70             ,23066.00            ,140003.35                ,6408500.00              ,2415000.00              ,3410.15
TCS,     23-Oct-2023,     28-Dec-2023,      3525.00,      3525.00,      3451.05,      3455.35,      3451.05            ,3455.35             ,281.00              ,1715.58                  ,111475.00               ,21875.00                ,3410.15
TCS,     25-Oct-2023,     26-Oct-2023,      3406.90,      3428.80,      3379.30,      3388.95,      3389.95            ,3388.95             ,17023.00            ,101366.33                ,3469025.00              ,-1828050.00             ,3390.10
TCS,     25-Oct-2023,     30-Nov-2023,      3435.00,      3449.65,      3402.00,      3410.45,      3409.95            ,3410.45             ,19556.00            ,117168.34                ,8225525.00              ,1817025.00              ,3390.10
TCS,     25-Oct-2023,     28-Dec-2023,      3465.70,      3472.45,      3423.80,      3433.90,      3432.95            ,3433.90             ,303.00              ,1826.69                  ,136150.00               ,24675.00                ,3390.10
TCS,     26-Oct-2023,     26-Oct-2023,      3376.60,      3376.60,      3312.20,      3334.15,      3312.20            ,3336.75             ,25695.00            ,150416.40                ,856625.00               ,-2612400.00             ,3336.75
TCS,     26-Oct-2023,     30-Nov-2023,      3391.05,      3395.55,      3337.80,      3353.20,      3342.00            ,3353.20             ,32087.00            ,188869.10                ,10809750.00             ,2584225.00              ,3336.75
TCS,     26-Oct-2023,     28-Dec-2023,      3407.00,      3410.20,      3361.05,      3373.80,      3361.05            ,3373.80             ,583.00              ,3457.11                  ,183925.00               ,47775.00                ,3336.75
TCS,     27-Oct-2023,     30-Nov-2023,      3342.00,      3381.95,      3341.00,      3373.00,      3375.00            ,3373.00             ,7971.00             ,47013.40                 ,10832325.00             ,22575.00                ,3350.95
